tenant_id,company_id,id,person_id,eff_begin,eff_end,is_primary,employee_id,employee_status_code,cost_center_code,grade_code,lov_asta,supervisor_id,created_by,created_at,updated_by,updated_at,file_assignment_doc,note,final_process_date,assignment_doc_number,location_code,position_code,job_code,unit_code,assignment_reason_code,lov_acty,position_slot_code
1000000000,1700000000,831,490,2018-06-05,9999-12-31,t,16120037,PRMN,,Grade 2,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,MGR-BPPM,BPPM,BUSPROC-PROCURE,EXP,HIRE,STAFF1
1000000000,1700000000,832,491,2018-06-05,9999-12-31,t,17010040,PRMN,,Grade 2,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,STAFF-FASS,FASS,FIN-ACC,EXP,HIRE,STAFF1
1000000000,1700000000,833,492,2018-06-05,9999-12-31,t,17010041,PRMN,,Grade 2,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,STAFF-FAS,FAS,FIN-ACC,EXP,HIRE,STAFF1
1000000000,1700000000,834,493,2018-06-05,9999-12-31,t,17010043,PRMN,,Grade 2,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,MGR-LEGAL,LM,LEGAL,EXP,HIRE,STAFF1
1000000000,1700000000,835,494,2018-06-05,9999-12-31,t,17010044,PRMN,,Grade 3,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,SPV-LEGAL,LS,LEGAL,EXP,HIRE,STAFF1
1000000000,1700000000,836,495,2018-06-05,9999-12-31,t,17010045,PRMN,,Grade 3,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,STAFF-LEGAL,LSU,LEGAL,EXP,HIRE,STAFF1
1000000000,1700000000,837,496,2018-06-05,9999-12-31,t,17020050,PRMN,,Grade 3,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,STAFF-PS,PS,BUSPROC-PROCURE,EXP,HIRE,STAFF1
1000000000,1700000000,838,497,2018-06-05,9999-12-31,t,17020052,PRMN,,Grade 3,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,GM-MG,MGM,MKT-COM,EXP,HIRE,STAFF1
1000000000,1700000000,839,498,2018-06-05,9999-12-31,t,17020056,PRMN,,Grade 3,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,MGR-MO,MOM,MKT-COM,EXP,HIRE,STAFF1
1000000000,1700000000,840,499,2018-06-05,9999-12-31,t,17020058,PRMN,,Grade 1,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,STAFF-DAS,DAS,IT-BUS,EXP,HIRE,STAFF1
1000000000,1700000000,841,500,2018-06-05,9999-12-31,t,17020059,PRMN,,Grade 1,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,STAFF-SOES,SOESS,IT-BUS,EXP,HIRE,STAFF1
1000000000,1700000000,842,501,2018-06-05,9999-12-31,t,17020061,PRMN,,Grade 1,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,STAFF-BES,BES,MKT-COM,EXP,HIRE,STAFF1
1000000000,1700000000,843,502,2018-06-05,9999-12-31,t,17020062,PRMN,,Grade 1,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,SPV-CMPS,CMPS,MKT-COM,EXP,HIRE,STAFF1
1000000000,1700000000,819,478,2018-06-05,2018-06-20,t,16080003,PRMN,,Grade 1,ACT,,1,2018-06-05 00:00:00+00,1,2018-06-21 08:45:17+00,,,,,HOF,SPV-LEGAL,LS,LEGAL,EXP,HIRE,STAFF1
1000000000,1700000000,844,503,2018-01-01,9999-12-31,t,"2018,06,20,2",PRMN,,1,ACTIVE,,1,2018-06-20 07:10:01+00,1,2018-06-21 07:24:28+00,cdn/doc/1700000000/EMPL/ZjJiM2FlNTAtNzQ1OC0xMWU4LWFkODMtYjc3YjFmOTE4MjFkKk1PTSBCRU5FRkl0ICYgbG9hbixwZXJzb25lbCBkYW4gdGltZS5kb2M=,,,,HOF,STAFFHR,HRSTAFF,HRDEPT,EXP,HIRE,STAFF1
1000000000,1700000000,850,478,2018-06-21,9999-12-31,f,16080003,PRMN,,,TMT,,1,2018-06-21 08:45:17+00,,,,,,,HOF,SPV-LEGAL,LS,LEGAL,EXP,TERM,STAFF1
1000000000,1700000000,851,504,2018-07-04,9999-12-31,t,"2018,07,04,2",PRMN,CC1,1,ACTIVE,487,1,2018-07-04 08:11:38+00,,,cdn/doc/1700000000/EMPL/ZTA1NzhiYTAtN2Y2MS0xMWU4LTk0MGQtZjFmN2FmNDg1NjhlKnBkZi1zYW1wbGUucGRm,,,XV121,HOF,STAFFHR,HRSTAFF,HRDEPT,EXP,HIRE,STAFF1
1000000000,1700000000,852,505,2018-07-10,9999-12-31,t,"2018,07,10,2",PRMN,,1,ACTIVE,,1,2018-07-10 09:43:01+00,1,2018-07-11 03:14:44+00,,,,,HOF,STAFFHR,HRSTAFF,HRDEPT,EXP,HIRE,STAFF1
1000000000,1700000000,853,506,2018-07-13,9999-12-31,t,"2018,07,13,2",PRMN,,,ACTIVE,,1,2018-07-13 07:05:53+00,,,,,,,HOF,STAFFHR,HRSTAFF,HRDEPT,EXP,HIRE,STAFF1
1000000000,1700000000,854,507,2018-07-31,9999-12-31,t,"2018,07,31,2",PRMN,,1,ACTIVE,,1,2018-07-31 03:28:04+00,,,,,,,HOF,STAFFHR,HRSTAFF,HRDEPT,EXP,HIRE,STAFF1
1000000000,1700000000,818,477,2018-05-28,2018-09-10,t,"2018,05,28,2",PRMN,,1,ACTIVE,,1,2018-05-28 06:43:33+00,1,2018-09-10 05:00:24+00,,,,,HOF,STAFFHR,HRSTAFF,HRDEPT,EXP,HIRE,STAFF1
1000000000,1700000000,855,477,2018-09-11,9999-12-31,t,"2018,09,10,2",PRMN,,,ACTIVE,,1,2018-09-10 05:00:24+00,,,,,,,HOF,STAFFHR,HRSTAFF,HRDEPT,EXP,MUTA,STAFFHR 0
1000000000,1700000000,856,508,2018-09-25,9999-12-31,t,"2018,09,25,2",PRMN,CC1,1,ACT,487,1,2018-09-25 08:55:23+00,,,cdn/doc/1700000000/EMPL/YmNkMzVmNDAtYzBhMC0xMWU4LWFmMGMtZTVmMWM0OTlmNmZlKkluc3RhX0FQSV9TcGVjaWZpY2F0aW9uLnBkZg==,Good Potential,,123456789,KM,JVD,DVP,RND,EXP,HIRE,JVD 0
1000000000,1700000000,820,479,2018-06-05,2018-09-26,t,16080004,PRMN,,Grade 2,ACT,,1,2018-06-05 00:00:00+00,1,2018-09-27 13:14:56+00,,,,,HOF,STAFF-MD,MDA,GLB,EXP,HIRE,STAFF1
1000000000,1700000000,857,479,2018-09-27,9999-12-31,t,"2018,09,27,2",PRMN,,,ACT,,1,2018-09-27 13:14:56+00,,,,,,,KM,JVD,DVP,RND,EXP,PROM,JVD 0
1000000000,1700000000,858,510,2018-10-01,9999-12-31,t,"2018,10,01,2",PRMN,CC1,1,ACT,,1,2018-10-01 04:09:07+00,,,,,,,KM,STAFFHR,HRSTAFF,HRDEPT,EXP,HIRE,STAFFHR 0
1000000000,1700000000,859,509,2018-10-01,9999-12-31,t,"2018,10,01,2",PRMN,CC1,1,ACT,,1,2018-10-01 04:09:07+00,,,,,,,KM,STAFFHR,HRSTAFF,HRDEPT,EXP,HIRE,STAFFHR 0
1000000000,1700000000,860,511,2018-10-05,9999-12-31,t,"2018,10,05,2",APRD,,,ACT,,1,2018-10-05 10:40:44+00,,,,,,,KM,STAFFHR,HRSTAFF,HRDEPT,OK,HIRE,STAFFHR 0
1000000000,1700000000,965,512,2018-10-08,9999-12-31,t,"2018,10,08,2",PRMN,,,ACT,,1,2018-10-08 07:04:20+00,,,,,,,KM,STAFFHR,HRSTAFF,HRDEPT,OK,HIRE,STAFFHR 0
1000000000,1700000000,1873,487,2018-10-12,9999-12-31,t,"2018,10,12,2",PRMN,,,ACT,,1,2018-10-12 08:30:03+00,,,,,,,KM,STAFFHR,HRSTAFF,HRDEPT,OK,PROM,STAFFHR 0
1000000000,1700000000,828,487,2018-06-05,2018-10-11,t,16120030,PRMN,,Grade 1,ACT,,1,2018-06-05 00:00:00+00,1,2018-10-12 08:30:03+00,,,,,HOF,STAFF-RS,RS,HROGA,EXP,HIRE,STAFF1
